param_loss,param_penalty,test_score,rank_test_score,param_alpha,partial_fit_calls,param_learning_rate,param_eta0,mean_score_time,mean_partial_fit_time,params,model_id,bracket,std_score_time,std_partial_fit_time
squared_error,elasticnet,0.9152407701303151,1,5.8717663907332614e-05,9,invscaling,0.0112,0.0007323622703552246,0.0007334351539611816,"{'penalty': 'elasticnet', 'loss': 'squared_error', 'learning_rate': 'invscaling', 'eta0': 0.0112, 'alpha': 5.8717663907332614e-05}",bracket=2-6,2,0.0005336776986866054,0.00034041553735406896
squared_error,l2,0.9107759624898792,1,3.0024617090855494e-06,15,invscaling,0.055600000000000004,0.0007396936416625977,0.0015317201614379883,"{'penalty': 'l2', 'loss': 'squared_error', 'learning_rate': 'invscaling', 'eta0': 0.055600000000000004, 'alpha': 3.0024617090855494e-06}",bracket=1-0,1,0.0004059363381629598,0.001578167626153364
huber,l2,0.9091899266059963,1,4.213321743847289e-05,11,adaptive,0.06670000000000001,0.00045069058736165363,0.0018588701883951824,"{'penalty': 'l2', 'loss': 'huber', 'learning_rate': 'adaptive', 'eta0': 0.06670000000000001, 'alpha': 4.213321743847289e-05}",bracket=0-0,0,6.308993899945483e-05,0.002024375117084211
epsilon_insensitive,elasticnet,0.901241115077047,2,2.669478494034318e-05,3,invscaling,0.055600000000000004,0.00040709972381591797,0.0008764266967773438,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'learning_rate': 'invscaling', 'eta0': 0.055600000000000004, 'alpha': 2.669478494034318e-05}",bracket=2-5,2,2.9206275939941406e-05,0.00019359588623046875
epsilon_insensitive,l1,0.862378417538554,2,2.2612800663372794e-06,5,constant,0.044500000000000005,0.0008939504623413086,0.0011599063873291016,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'learning_rate': 'constant', 'eta0': 0.044500000000000005, 'alpha': 2.2612800663372794e-06}",bracket=1-4,1,0.0005470514297485352,0.000392913818359375
epsilon_insensitive,l2,0.8536876420901762,3,7.32596542821523e-05,3,adaptive,0.033400000000000006,0.0009020566940307617,0.0016710758209228516,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'learning_rate': 'adaptive', 'eta0': 0.033400000000000006, 'alpha': 7.32596542821523e-05}",bracket=2-2,2,0.0005248785018920898,0.001230001449584961
huber,l1,0.558079998967649,2,3.108082173869064e-06,15,invscaling,0.033400000000000006,0.0004202127456665039,0.0006250739097595215,"{'penalty': 'l1', 'loss': 'huber', 'learning_rate': 'invscaling', 'eta0': 0.033400000000000006, 'alpha': 3.108082173869064e-06}",bracket=0-2,0,0.0001361564753421793,0.0001575067709767726
huber,l2,0.38135812391811186,3,4.738879609717651e-05,15,invscaling,0.0223,0.0007367134094238281,0.0006939172744750977,"{'penalty': 'l2', 'loss': 'huber', 'learning_rate': 'invscaling', 'eta0': 0.0223, 'alpha': 4.738879609717651e-05}",bracket=0-1,0,0.0003678395752340958,0.000332330078667497
huber,l1,-0.24419036668661875,4,1.556654359271062e-05,1,invscaling,0.0223,0.0011830329895019531,0.0031480789184570312,"{'penalty': 'l1', 'loss': 'huber', 'learning_rate': 'invscaling', 'eta0': 0.0223, 'alpha': 1.556654359271062e-05}",bracket=2-1,2,0.0,0.0
epsilon_insensitive,l2,-0.42315651578929425,5,5.7911226476417584e-05,1,invscaling,0.0001,0.0003807544708251953,0.0009908676147460938,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'learning_rate': 'invscaling', 'eta0': 0.0001, 'alpha': 5.7911226476417584e-05}",bracket=2-0,2,0.0,0.0
squared_error,elasticnet,-13.574093801981398,6,0.00020668802496290822,1,invscaling,0.07780000000000001,0.000576019287109375,0.0005509853363037109,"{'penalty': 'elasticnet', 'loss': 'squared_error', 'learning_rate': 'invscaling', 'eta0': 0.07780000000000001, 'alpha': 0.00020668802496290822}",bracket=2-7,2,0.0,0.0
squared_epsilon_insensitive,l2,-36.374180081453595,7,2.9817722900196734e-05,1,invscaling,0.055600000000000004,0.00057220458984375,0.00046896934509277344,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'learning_rate': 'invscaling', 'eta0': 0.055600000000000004, 'alpha': 2.9817722900196734e-05}",bracket=2-3,2,0.0,0.0
squared_epsilon_insensitive,elasticnet,-46.345495427540676,8,6.120498372476703e-06,1,invscaling,0.055600000000000004,0.0003578662872314453,0.0005099773406982422,"{'penalty': 'elasticnet', 'loss': 'squared_epsilon_insensitive', 'learning_rate': 'invscaling', 'eta0': 0.055600000000000004, 'alpha': 6.120498372476703e-06}",bracket=2-4,2,0.0,0.0
squared_error,l2,-1.1568963949154324e+22,3,2.010496416260497e-06,5,constant,0.055600000000000004,0.0004309415817260742,0.0014634132385253906,"{'penalty': 'l2', 'loss': 'squared_error', 'learning_rate': 'constant', 'eta0': 0.055600000000000004, 'alpha': 2.010496416260497e-06}",bracket=1-1,1,1.1086463928222656e-05,0.0010063648223876953
squared_error,l2,-1.602668486359434e+22,9,0.0007275483529196225,1,constant,0.0889,0.00048828125,0.0003981590270996094,"{'penalty': 'l2', 'loss': 'squared_error', 'learning_rate': 'constant', 'eta0': 0.0889, 'alpha': 0.0007275483529196225}",bracket=2-8,2,0.0,0.0
squared_error,l2,-3.3348065783009583e+22,4,0.0005404216420705915,5,constant,0.1,0.0007636547088623047,0.0019565820693969727,"{'penalty': 'l2', 'loss': 'squared_error', 'learning_rate': 'constant', 'eta0': 0.1, 'alpha': 0.0005404216420705915}",bracket=1-3,1,0.0002675056457519531,0.0010753870010375977
squared_epsilon_insensitive,l2,-3.674224035760707e+22,5,0.00013840160965731315,5,adaptive,0.0889,0.0007489919662475586,0.002796649932861328,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'learning_rate': 'adaptive', 'eta0': 0.0889, 'alpha': 0.00013840160965731315}",bracket=1-2,1,0.00039017200469970703,0.00254058837890625
